id;name;geoname;value;datetime
1293;Demanda real;Península;24877;2026-07-04T04:15:00+02:00
1293;Demanda real;Península;24819;2026-07-04T04:20:00+02:00
1293;Demanda real;Península;24672;2026-07-04T04:25:00+02:00
1293;Demanda real;Península;24646;2026-07-04T04:30:00+02:00
1293;Demanda real;Península;24636;2026-07-04T04:35:00+02:00
1293;Demanda real;Península;24584;2026-07-04T04:40:00+02:00
1293;Demanda real;Península;24513;2026-07-04T04:45:00+02:00
1293;Demanda real;Península;24371;2026-07-04T04:50:00+02:00
1293;Demanda real;Península;24522;2026-07-04T04:55:00+02:00
1293;Demanda real;Península;24225;2026-07-04T05:00:00+02:00
1293;Demanda real;Península;24295;2026-07-04T05:05:00+02:00
1293;Demanda real;Península;24333;2026-07-04T05:10:00+02:00
1293;Demanda real;Península;24319;2026-07-04T05:15:00+02:00
1293;Demanda real;Península;24308;2026-07-04T05:20:00+02:00
1293;Demanda real;Península;24195;2026-07-04T05:25:00+02:00
1293;Demanda real;Península;24116;2026-07-04T05:30:00+02:00
1293;Demanda real;Península;24271;2026-07-04T05:35:00+02:00
1293;Demanda real;Península;24208;2026-07-04T05:40:00+02:00
1293;Demanda real;Península;24262;2026-07-04T05:45:00+02:00
1293;Demanda real;Península;24141;2026-07-04T05:50:00+02:00
1293;Demanda real;Península;24052;2026-07-04T05:55:00+02:00
1293;Demanda real;Península;24094;2026-07-04T06:00:00+02:00
1293;Demanda real;Península;24436;2026-07-04T06:05:00+02:00
1293;Demanda real;Península;24421;2026-07-04T06:10:00+02:00
1293;Demanda real;Península;24526;2026-07-04T06:15:00+02:00
1293;Demanda real;Península;24593;2026-07-04T06:20:00+02:00
1293;Demanda real;Península;24516;2026-07-04T06:25:00+02:00
1293;Demanda real;Península;24486;2026-07-04T06:30:00+02:00
1293;Demanda real;Península;24540;2026-07-04T06:35:00+02:00
1293;Demanda real;Península;24355;2026-07-04T06:40:00+02:00
1293;Demanda real;Península;24305;2026-07-04T06:45:00+02:00
1293;Demanda real;Península;24293;2026-07-04T06:50:00+02:00
1293;Demanda real;Península;24163;2026-07-04T06:55:00+02:00
1293;Demanda real;Península;24085;2026-07-04T07:00:00+02:00
1293;Demanda real;Península;24234;2026-07-04T07:05:00+02:00
1293;Demanda real;Península;24512;2026-07-04T07:10:00+02:00
1293;Demanda real;Península;24669;2026-07-04T07:15:00+02:00
1293;Demanda real;Península;24722;2026-07-04T07:20:00+02:00
1293;Demanda real;Península;24680;2026-07-04T07:25:00+02:00
1293;Demanda real;Península;24987;2026-07-04T07:30:00+02:00
1293;Demanda real;Península;25244;2026-07-04T07:35:00+02:00
1293;Demanda real;Península;25337;2026-07-04T07:40:00+02:00
1293;Demanda real;Península;25509;2026-07-04T07:45:00+02:00
1293;Demanda real;Península;25553;2026-07-04T07:50:00+02:00
1293;Demanda real;Península;25631;2026-07-04T07:55:00+02:00
1293;Demanda real;Península;25998;2026-07-04T08:00:00+02:00
1293;Demanda real;Península;26208;2026-07-04T08:05:00+02:00
1293;Demanda real;Península;26745;2026-07-04T08:10:00+02:00
1293;Demanda real;Península;27159;2026-07-04T08:15:00+02:00
1293;Demanda real;Península;27071;2026-07-04T08:20:00+02:00
1293;Demanda real;Península;27520;2026-07-04T08:25:00+02:00
1293;Demanda real;Península;27510;2026-07-04T08:30:00+02:00
1293;Demanda real;Península;27667;2026-07-04T08:35:00+02:00
1293;Demanda real;Península;27873;2026-07-04T08:40:00+02:00
1293;Demanda real;Península;28560;2026-07-04T08:45:00+02:00
1293;Demanda real;Península;28599;2026-07-04T08:50:00+02:00
1293;Demanda real;Península;28817;2026-07-04T08:55:00+02:00
1293;Demanda real;Península;28946;2026-07-04T09:00:00+02:00
1293;Demanda real;Península;29402;2026-07-04T09:05:00+02:00
1293;Demanda real;Península;29765;2026-07-04T09:10:00+02:00
1293;Demanda real;Península;30085;2026-07-04T09:15:00+02:00
1293;Demanda real;Península;30384;2026-07-04T09:20:00+02:00
1293;Demanda real;Península;30347;2026-07-04T09:25:00+02:00
1293;Demanda real;Península;30835;2026-07-04T09:30:00+02:00
1293;Demanda real;Península;31012;2026-07-04T09:35:00+02:00
1293;Demanda real;Península;30972;2026-07-04T09:40:00+02:00
1293;Demanda real;Península;31090;2026-07-04T09:45:00+02:00
1293;Demanda real;Península;31171;2026-07-04T09:50:00+02:00
1293;Demanda real;Península;30979;2026-07-04T09:55:00+02:00
1293;Demanda real;Península;31392;2026-07-04T10:00:00+02:00
1293;Demanda real;Península;31761;2026-07-04T10:05:00+02:00
1293;Demanda real;Península;31803;2026-07-04T10:10:00+02:00
1293;Demanda real;Península;31815;2026-07-04T10:15:00+02:00
